0_1_3_2_4,29.0,2.0
4_3_1_2_0,27.0,0.0
3_4_0_2_1,27.0,0.0
3_2_0_1_4,21.0,-6.0
1_0_3_2_4,21.0,0.0
2_3_1_4_0,25.0,4.0
0_1_4_2_3,21.0,0.0
1_4_3_2_0,21.0,0.0
2_4_3_1_0,27.0,6.0
4_0_1_2_3,25.0,4.0
4_0_2_3_1,25.0,4.0
3_2_0_1_4,21.0,0.0
1_3_4_0_2,27.0,6.0
0_2_4_1_3,23.0,2.0
0_4_3_1_2,27.0,6.0
3_0_2_1_4,19.0,-2.0
0_1_2_3_4,25.0,6.0
4_0_2_3_1,25.0,6.0
3_2_1_4_0,21.0,2.0
2_0_1_3_4,27.0,8.0
4_1_2_3_0,21.0,2.0
4_2_0_3_1,23.0,4.0
0_2_3_4_1,21.0,2.0
4_2_1_3_0,27.0,8.0
4_0_2_3_1,25.0,6.0
4_0_3_1_2,27.0,8.0
4_3_2_1_0,25.0,6.0
1_0_4_3_2,25.0,6.0
3_2_0_4_1,25.0,6.0
0_4_2_3_1,29.0,10.0
0_2_4_3_1,27.0,8.0
0_1_3_4_2,27.0,8.0
1_3_0_2_4,23.0,4.0
2_1_0_3_4,23.0,4.0
1_4_3_2_0,21.0,2.0
2_0_3_1_4,23.0,4.0
3_0_4_2_1,27.0,8.0
1_3_0_2_4,23.0,4.0
2_4_1_0_3,21.0,2.0
2_1_4_3_0,19.0,0.0
1_2_3_4_0,25.0,6.0
2_3_4_0_1,25.0,6.0
4_0_2_3_1,25.0,6.0
3_1_0_4_2,29.0,10.0
1_3_4_2_0,27.0,8.0
0_3_2_4_1,21.0,2.0
2_4_3_1_0,27.0,8.0
3_4_0_1_2,25.0,6.0
4_2_3_1_0,29.0,10.0
1_2_3_0_4,21.0,2.0
3_0_4_1_2,21.0,2.0
3_0_4_1_2,21.0,2.0
0_2_1_3_4,27.0,8.0
2_4_1_3_0,23.0,4.0
1_0_3_2_4,21.0,2.0
1_0_2_4_3,27.0,8.0
3_4_0_1_2,25.0,6.0
3_4_0_1_2,25.0,6.0
2_0_1_4_3,21.0,2.0
4_0_1_2_3,25.0,6.0
3_4_2_0_1,27.0,8.0
3_1_0_4_2,29.0,10.0
1_4_2_3_0,21.0,2.0
1_0_2_3_4,21.0,2.0
4_1_3_2_0,25.0,6.0
0_3_4_1_2,19.0,0.0
0_2_4_3_1,27.0,8.0
3_0_4_2_1,27.0,8.0
4_0_2_1_3,27.0,8.0
4_3_0_1_2,23.0,4.0
4_2_0_3_1,23.0,4.0
4_0_1_2_3,25.0,6.0
4_0_2_3_1,25.0,6.0
1_0_3_2_4,21.0,2.0
0_1_3_2_4,29.0,10.0
3_2_0_1_4,21.0,2.0
2_0_3_1_4,23.0,4.0
1_0_3_4_2,23.0,4.0
2_4_1_3_0,23.0,4.0
0_3_2_4_1,21.0,2.0
3_1_2_0_4,27.0,8.0
4_1_0_2_3,21.0,2.0
0_1_4_2_3,21.0,2.0
4_3_1_0_2,27.0,8.0
4_1_3_0_2,23.0,4.0
0_2_1_3_4,27.0,8.0
3_0_4_1_2,21.0,2.0
3_0_1_4_2,21.0,2.0
4_2_0_1_3,27.0,8.0
3_1_2_4_0,27.0,8.0
2_4_1_0_3,21.0,2.0
1_0_2_4_3,27.0,8.0
2_3_0_1_4,21.0,2.0
2_1_4_0_3,21.0,2.0
0_1_3_4_2,27.0,8.0
0_3_2_1_4,21.0,2.0
3_0_1_2_4,23.0,4.0
2_0_1_3_4,27.0,8.0
2_3_1_0_4,29.0,10.0
0_2_4_1_3,23.0,4.0
1_3_4_0_2,27.0,8.0
1_4_0_3_2,21.0,2.0
2_0_4_3_1,27.0,8.0
1_2_3_0_4,21.0,2.0
2_0_3_4_1,19.0,0.0
1_3_2_0_4,25.0,6.0
3_2_4_0_1,29.0,10.0
1_0_3_2_4,21.0,2.0
4_3_1_0_2,27.0,8.0
3_0_1_4_2,21.0,2.0
4_2_1_3_0,27.0,8.0
1_0_2_3_4,21.0,2.0
4_3_0_1_2,23.0,4.0
1_4_3_0_2,19.0,0.0
1_0_4_2_3,29.0,10.0
1_2_4_0_3,27.0,8.0
4_2_0_3_1,23.0,4.0
1_0_2_3_4,21.0,2.0
4_0_2_3_1,25.0,6.0
3_0_4_2_1,27.0,8.0
3_4_2_1_0,23.0,4.0
0_3_4_2_1,23.0,4.0
1_3_2_4_0,29.0,10.0
2_3_0_1_4,21.0,2.0
1_2_3_4_0,25.0,6.0
